ngram,count
fl,11
lt,10
ll,10
iń,10
jó,10
ip,10
łg,10
tl,10
mp,9
jś,9
jp,9
bs,9
ęć,9
kc,9
rś,9
lm,9
rj,8
sb,8
wl,8
zs,8
bj,8
óz,8
mb,8
ćm,8
źl,8
dt,8
żę,8
hó,8
yą,8
ók,7
pk,7
źr,7
mg,7
óź,7
ah,7
łz,7
ćk,7
 v,6
 1,6
ef,6
yń,6
fn,6
ńk,6
źb,6
zh,6
ye,6
wś,6
lg,6
ri,5
lw,5
wb,5
gm,5
jl,5
ąś,5
żw,5
uć,5
iź,5
bm,5
ya,5
jg,5
źc,5
bw,5
yu,5
 ć,5
ji,4
ke,4
łc,4
ff,4
oa,4
łp,4
pą,4
cj,4
uf,4
yę,4
cw,4
fy,4
żg,4
ui,4
mś,4
ml,4
zż,4
óś,4
łż,4
oe,4
di,3
ex,3
yf,3
śk,3
jb,3
rl,3
śb,3
ii,3
ea,3
ćb,3
lż,3
jż,3
cm,3
ax,3
x ,3
jz,3
ld,3
km,3
yo,3
ćw,3
rć,3
ay,3
vo,2
xa,2
hą,2
żl,2
yź,2
cc,2
ón,2
ao,2
ńb,2
lp,2
oo,2
żm,2
nf,2
łd,2
źń,2
cb,2
md,2
óy,2
śń,2
łź,2
f ,2
sf,2
eh,2
cl,2
vu,2
lj,2
rf,2
fj,1
ti,1
óm,1
bf,1
wj,1
hb,1
uo,1
nż,1
wż,1
np,1
ou,1
tp,1
jć,1
tz,1
łm,1
pś,1
gj,1
ue,1
lś,1
dś,1
jł,1
fó,1
nv,1
v ,1
hs,1
łł,1
zz,1
bz,1
fą,1
śs,1
żc,1
oę,1
mż,1
oy,1
va,1
sd,1
łw,1
hś,1
ąź,1
ft,1
nw,1
 x,1
xi,1
jj,1
dh,1
uh,1
ts,1
 à,1
à ,1
sl,1
ćs,1
źż,1
ńm,1
ćp,1
nj,1
pp,1
pd,1
tj,1
uą,1
sś,1
fę,1
bd,1
vi,1
ąl,1
xu,1
ęź,1
