ngram,count
ł i,119
 ki,119
śli,119
eus,118
ion,118
da ,118
aki,118
ł n,118
i j,118
tad,117
pol,117
emi,117
ano,116
 św,116
czę,116
az ,116
yśl,116
z w,115
u w,115
 al,115
e k,115
ł z,115
zyk,115
deu,114
u s,114
 ku,114
wyc,114
 wz,114
ę p,113
y j,113
o c,113
zel,113
 li,112
 zd,112
m n,112
pos,112
ę n,112
i m,112
ran,111
as ,111
u n,111
 sw,111
icz,110
i i,110
ra ,110
zam,110
one,110
myś,110
zyn,109
stw,109
sam,109
a g,108
o m,108
ron,108
ało,108
ą s,108
 ok,107
ząc,107
ą p,107
 my,107
e r,107
s p,106
 so,106
 oc,106
 la,106
era,106
la ,106
tra,105
ez ,105
tu ,105
wan,105
any,105
i r,105
w t,104
ałe,104
pro,104
eż ,104
jed,104
z n,104
zył,103
tyl,102
dob,102
dom,102
zym,102
st ,102
rwa,102
łod,101
zi ,101
wo ,100
gi ,100
ę s,100
o j,100
mni,100
nyc,100
 og,100
sia,100
wni,100
 us,100
zni,100
ja ,99
 sę,99
sęd,99
 lu,99
dni,99
m o,99
tro,99
ona,98
ką ,98
ć s,98
adz,98
sko,97
war,96
ysz,96
we ,96
o o,96
 no,96
y m,96
zen,96
śni,96
obr,96
osi,96
zaj,95
 wr,95
m d,95
w d,95
rob,95
elk,94
pot,93
omo,93
zar,93
ków,93
zed,93
ian,93
 ba,93
wię,92
 os,92
 be,92
ekł,92
om ,91
zło,91
ość,91
idz,91
nej,91
gro,91
chc,91
cał,90
stk,90
e g,90
 ze,90
rzą,90
i b,90
y r,90
udz,90
tam,90
ejs,90
ł t,90
odk,89
ą w,89
cią,89
zą ,89
o b,89
ako,89
nim,89
ust,88
 we,88
ste,88
k s,88
rac,88
wą ,88
kę ,88
 mł,88
j s,88
on ,87
nas,87
ma ,87
kom,87
czą,87
h s,87
k w,87
ieb,87
y g,87
ież,87
o r,87
wi ,86
ięc,86
ad ,86
koł,86
en ,86
art,86
zwi,86
ł k,86
iu ,86
 on,86
ycz,85
jsk,85
 ru,85
słu,85
zac,85
 rę,85
k p,85
las,85
y b,85
pom,85
szl,84
 ks,84
por,84
cił,84
w o,84
iek,84
te ,84
czu,84
w n,84
ter,84
owe,84
o g,83
tan,83
nym,83
ara,83
nem,83
ieś,83
mło,83
ońc,83
sło,83
kon,82
row,82
och,82
szt,82
 ga,82
rz ,82
mię,82
chy,82
aż ,82
 mó,82
óry,82
ć w,82
tki,81
ią ,81
ził,81
nad,80
zan,80
atr,80
z s,80
ł d,79
h p,79
iat,79
 wł,79
yć ,79
kro,79
osz,79
kł ,79
m k,79
daw,78
oko,78
ugi,78
oki,78
my ,78
tel,78
 zi,77
ba ,77
m j,77
zaw,77
adł,77
ana,77
ywa,77
awa,77
oba,77
lac,76
u t,76
kim,76
ucz,76
zda,76
 pu,76
j p,76
łos,76
śmi,76
zyc,76
men,76
ojs,75
res,75
ć n,75
azy,75
w w,74
ć p,74
lki,74
wys,74
m c,74
dał,74
 aż,74
mał,74
 uc,74
liw,74
brz,73
ole,73
 ca,73
a a,73
oje,73
ane,72
dro,72
z z,72
ł m,72
naj,72
wsk,72
i g,72
chw,72
c s,72
zwa,72
ław,72
ewi,71
ksi,71
grz,71
dzą,71
kic,71
awn,71
pad,71
zos,71
mów,71
ast,70
ora,70
oda,70
ę d,70
dow,70
wst,70
z d,70
 zo,70
sob,70
ard,69
ług,69
ime,69
z r,69
zeg,69
lko,69
ą z,69
ą n,69
rzę,69
osk,69
oło,69
sła,69
u j,69
mow,69
ten,68
wę ,68
 dł,68
dzy,68
 są,68
wił,68
lim,68
i a,67
zez,67
a l,67
zla,67
zno,67
 zb,67
si ,67
par,66
h w,66
mor,66
oła,66
rej,66
 ży,66
rok,66
twa,66
u z,66
ł o,66
rad,66
eje,66
kar,66
e u,65
bro,65
rog,65
dwo,65
goś,65
ec ,65
zu ,65
oci,65
edn,65
wil,65
z p,64
dal,64
ary,64
dru,64
oli,64
z m,64
pus,64
koń,64
z o,64
 re,64
 pe,64
awy,64
zon,64
nar,63
dłu,63
e a,63
dar,63
 op,63
ód ,63
róc,63
odn,63
k n,63
drz,63
ewa,63
wor,63
dł ,63
lub,63
ręk,63
ziw,63
nił,63
ięd,63
zyj,62
yli,62
tni,62
two,62
gni,62
ień,62
m b,62
isk,62
jej,62
omi,62
 ró,62
ogr,61
łon,61
aci,61
ist,61
s k,61
sły,61
yło,61
czo,61
kła,61
ł c,61
dla,61
m i,61
ili,61
m t,61
ylk,60
kow,60
wró,60
nio,60
 ło,60
ąd ,60
óre,60
ręc,60
niu,60
ask,60
bli,60
taw,60
s t,60
yma,59
u d,59
gie,59
uka,59
jeg,59
ę o,59
wią,59
ono,59
zew,59
 ła,59
róż,59
ote,59
oć ,59
ę j,59
aje,59
ik ,59
 zł,59
edź,59
źwi,59
noś,58
poc,58
y l,58
zę ,58
iła,58
umi,58
m m,58
omu,58
kną,58
kał,58
łoś,58
naw,58
bez,58
skr,58
yna,58
ę k,58
god,58
edy,58
 dl,58
lni,58
ic ,58
w z,58
h n,58
emu,57
che,57
osp,57
dko,57
rzu,57
ięk,57
m r,57
hod,57
hci,57
zab,57
y a,57
wic,56
u k,56
rug,56
tyc,56
w c,56
kni,56
ć z,56
iąg,56
d s,56
ewn,56
zuc,56
arc,56
szu,56
ład,56
uci,56
ha ,56
 se,56
scy,56
gra,55
u o,55
k z,55
ięt,55
u i,55
 ps,55
eka,55
ele,55
rom,55
w g,55
ows,55
w r,55
sią,55
ówi,55
zej,55
cu ,55
c n,55
a ż,54
 mn,54
m g,54
cic,54
dos,54
wol,54
ank,54
aba,54
j w,54
nac,54
et ,54
łys,54
zyw,54
łe ,54
jrz,54
ala,54
 zg,54
ena,54
ł j,54
z g,54
sy ,54
twi,53
lit,53
o i,53
yci,53
ą d,53
rów,53
ząd,53
ogi,53
kam,53
awe,53
erc,53
du ,53
spa,53
a u,53
bak,53
ę t,52
ram,52
ród,52
ące,52
wać,52
gdz,52
omn,52
wne,52
ras,52
ł g,52
kra,52
lis,52
 ur,52
dza,52
każ,52
aze,52
zro,52
neg,51
 u ,51
pię,51
k m,51
 pł,51
 du,51
oże,51
i u,51
bił,51
ży ,51
kor,51
zak,51
ęc ,51
ż p,51
 kł,51
sty,50
 ża,50
ę i,50
nal,50
iwi,50
a ś,50
j n,50
yła,50
w b,50
win,50
chu,50
koc,50
icy,50
ars,49
ęst,49
osł,49
sem,49
lon,49
 pó,49
h z,49
ą o,49
 zm,49
zmi,49
dać,49
arn,49
nak,49
ate,49
inn,49
yni,49
nap,49
ent,49
lcz,49
zep,48
kol,48
zap,48
oty,48
 su,48
 bl,48
wem,48
żył,48
iąc,48
ądz,48
wny,48
wes,48
iez,48
aws,48
dzo,48
 wp,48
dwa,48
ysc,48
awo,48
ł r,48
pok,47
oru,47
zeb,47
tym,47
wym,47
zka,47
ody,47
oln,47
c w,47
ć m,47
wod,47
ykn,47
 śm,47
wej,47
sów,47
 ic,47
zęd,47
t n,47
mil,47
eć ,47
w m,47
tą ,47
dźw,47
mar,46
tow,46
ru ,46
try,46
u r,46
zes,46
zki,46
óci,46
ios,46
e ż,46
low,46
 zr,46
lek,46
moż,46
łas,46
wła,46
zci,46
ż s,46
adn,46
k k,46
gad,46
bar,46
taj,46
tru,46
jsz,46
dyn,46
ilc,46
or ,46
jen,46
wcz,45
isz,45
amk,45
gór,45
ela,45
odo,45
poz,45
ł ż,45
ój ,45
dwi,45
pat,45
os ,45
 kl,45
chł,45
ażd,45
s s,45
pli,45
re ,44
opi,44
kto,44
lud,44
ozm,44
aty,44
ę m,44
hał,44
egł,44
stą,44
szł,44
wyr,44
wu ,44
dła,44
nos,44
ata,44
wal,44
y u,44
zyb,44
ców,44
rał,44
łop,44
ga ,43
cis,43
j z,43
nęł,43
yta,43
spr,43
wyp,43
ą r,43
u m,43
ż n,43
hoć,43
 ho,43
su ,43
kaz,43
ową,43
hor,43
ore,43
ess,43
 ry,43
ass,43
k t,42
waż,42
eba,42
 tw,42
asn,42
ęci,42
zad,42
ruc,42
lan,42
ica,42
 ot,42
ł b,42
też,42
baw,42
ok ,42
eby,42
iep,42
czk,42
lad,42
u b,42
 kw,42
ę r,42
at ,42
w i,42
zwo,42
 ow,42
e l,42
oga,42
hło,42
ą t,42
 ge,42
rws,41
kan,41
ern,41
 bu,41
pas,41
 śr,41
lat,41
ę c,41
nku,41
pal,41
tej,41
ęcz,41
h i,41
n w,41
wło,41
ęła,41
edł,41
dze,41
opl,41
h k,41
nny,41
ebi,41
zęś,41
łu ,40
w l,40
i l,40
szą,40
eśc,40
nę ,40
ńcz,40
i ż,40
będ,40
c p,40
j k,40
wio,40
urz,40
ć i,40
ańs,40
o l,40
ż w,40
nki,40
lu ,40
są ,40
ub ,40
lił,40
 in,39
 an,39
dan,39
toł,39
ękn,39
owo,39
dem,39
ase,39
aca,39
ark,39
chn,39
 sc,39
ą j,39
aj ,39
jsc,39
iws,39
jem,39
 ją,39
ą k,39
sop,39
cki,38
tka,38
o u,38
ę b,38
z j,38
 bł,38
cem,38
akb,38
kby,38
ą m,38
adk,38
e ś,38
esi,38
k g,38
 wc,38
ksz,38
zta,38
wet,38
 as,38
obn,38
led,38
k o,38
kró,38
tol,38
sną,38
rdz,38
sso,38
d p,37
d n,37
rsz,37
zny,37
aro,37
ńsk,37
ed ,37
ą i,37
łuż,37
ini,37
gł ,37
rem,37
obo,37
bok,37
zyć,37
tów,37
sku,37
nne,37
zwy,37
owę,37
poj,37
tac,37
eń ,37
asu,37
daj,37
oma,37
n s,37
ger,37
z t,36
tat,36
zne,36
ęta,36
how,36
rus,36
iły,36
 śc,36
aśn,36
ć o,36
ode,36
ciw,36
swe,36
eży,36
 bę,36
lew,36
okr,36
oży,36
gon,36
yje,36
kry,36
m u,36
wić,36
k d,36
ilk,36
eśl,36
oby,36
pół,36
ł a,36
rki,36
ują,36
was,36
tąd,36
sse,36
ses,36
sor,36
elc,36
waz,36
pog,35
 oj,35
ć t,35
ć b,35
ągn,35
mal,35
cą ,35
w j,35
u c,35
ący,35
ą b,35
wis,35
dne,35
yś ,35
rę ,35
łot,35
ogo,35
łą ,35
iwn,35
otr,35
ota,35
ówn,35
ryc,35
har,35
enn,35
h c,35
 pl,35
 im,34
eck,34
ers,34
ama,34
zdr,34
o ś,34
z b,34
łac,34
emn,34
 sm,34
leż,34
ame,34
ć d,34
h o,34
t s,34
szn,34
zuk,34
ysk,34
uma,34
rka,34
zić,34
kre,34
kać,34
zmo,34
ół ,34
ber,34
odu,34
łuc,34
wsp,34
nam,34
rat,33
z i,33
zyl,33
n p,33
cię,33
pis,33
zię,33
tko,33
gą ,33
ju ,33
mur,33
z l,33
óżn,33
are,33
lej,33
mio,33
kło,33
kaw,33
nag,33
hu ,33
kac,33
yki,33
ć c,33
own,33
woł,33
udn,33
lep,33
tal,33
zic,33
raj,33
u g,33
rna,33
dź ,33
swo,33
yle,33
łyc,33
ome,32
jac,32
m a,32
uwa,32
nał,32
ann,32
órk,32
h d,32
nią,32
gła,32
łsz,32
ubi,32
zko,32
gał,32
lsk,32
mos,32
rew,32
dki,32
d k,32
zal,32
edw,32
maj,32
wra,32
k c,32
ory,32
rsk,32
aza,32
bud,32
ęli,32
nów,32
usi,32
kap,32
nt ,32
ija,32
hyl,32
atn,31
j o,31
zęs,31
j m,31
gu ,31
rzo,31
ega,31
alb,31
kwi,31
owu,31
krę,31
sch,31
dło,31
pta,31
obł,31
iwa,31
ć k,31
pań,31
wdz,31
ż z,31
dno,31
rcz,31
n z,31
yby,31
aka,31
o ż,31
u a,31
olo,31
ina,30
wyk,30
itw,30
uro,30
ojc,30
zyz,30
ias,30
m l,30
aś ,30
oś ,30
ite,30
śró,30
ą g,30
pew,30
ałt,30
k b,30
gną,30
ura,30
dum,30
cio,30
won,30
łoż,30
zaś,30
 uk,30
ser,30
iło,30
wzi,30
man,30
amy,30
mam,30
t w,30
kt ,30
ybi,30
rym,30
ż t,30
den,30
ą a,30
zag,30
ć j,30
dę ,30
ą c,30
rty,30
hwi,30
odw,30
wit,29
yja,29
oka,29
yzn,29
iś ,29
nię,29
łaś,29
iar,29
zo ,29
ebr,29
dwó,29
ews,29
ita,29
żny,29
ety,29
h m,29
lbo,29
nat,29
epi,29
ęce,29
bac,29
dny,29
s c,29
zbi,29
 có,29
 wt,29
ola,29
rud,29
j c,29
ury,29
api,29
mus,29
oso,29
h r,29
ęśc,29
unk,29
czł,28
nka,28
t p,28
oźn,28
eś ,28
ę u,28
oną,28
yka,28
zby,28
k i,28
awę,28
sio,28
żał,28
gar,28
k r,28
iet,28
dot,28
ozw,28
wac,28
osy,28
h b,28
rni,28
dku,28
roc,28
iny,28
wad,28
rdy,28
t z,28
cht,28
ieć,28
bio,28
iki,28
wrz,28
tab,28
wyt,28
ńst,28
 gó,28
alc,28
ida,27
gos,27
tre,27
otk,27
ję ,27
elo,27
alo,27
zma,27
rum,27
d w,27
kal,27
ozi,27
 up,27
ysi,27
ląd,27
ozn,27
ado,27
ice,27
yły,27
aną,27
peł,27
oły,27
igd,27
oro,27
z k,27
opa,27
ąca,27
epr,27
źni,27
zuł,27
uł ,27
aby,27
byt,27
rót,27
 py,27
ńcu,27
ro ,27
iln,27
zor,27
arł,27
j r,27
gle,27
łów,27
wzr,27
rą ,27
 um,27
łam,27
yk ,27
ędy,27
luc,27
anc,26
eść,26
jas,26
stę,26
łan,26
c z,26
zyp,26
tać,26
glą,26
rce,26
rąc,26
zów,26
chm,26
nig,26
o a,26
zią,26
k j,26
kaj,26
ę ż,26
jeś,26
dą ,26
wte,26
apa,26
t t,26
oń ,26
c t,26
śro,26
j d,26
mku,26
zkó,26
elu,26
z u,26
hwa,26
er ,26
lę ,26
bła,26
ł h,26
klu,26
raf,25
zio,25
azd,25
dam,25
wyd,25
ażn,25
tek,25
 ce,25
ziś,25
 cu,25
szę,25
eśn,25
ero,25
pał,25
j t,25
iąż,25
ąda,25
ośn,25
óż ,25
żyw,25
ods,25
 wn,25
enk,25
ces,25
apo,25
uje,25
oto,25
ąć ,25
teg,25
naz,25
mac,25
rwo,25
ikt,25
omy,25
lka,25
y h,25
tę ,25
zyt,25
opr,25
hem,25
żeb,25
zgo,25
óg ,25
kłó,25
wpa,25
 fr,24
fra,24
aja,24
jeż,24
pop,24
 uw,24
sok,24
moj,24
d t,24
szo,24
con,24
gaj,24
w ś,24
ugo,24
żne,24
d g,24
łki,24
uki,24
ęty,24
d d,24
żon,24
 ub,24
bla,24
 pt,24
c j,24
pam,24
sąd,24
hać,24
łęb,24
h l,24
oku,24
żdy,24
waw,24
dów,24
yt ,24
dli,24
ąws,24
nog,24
 ha,24
h t,24
liś,24
bą ,24
iwy,24
 me,23
mek,23
 ów,23
d b,23
ęki,23
zła,23
y ś,23
asa,23
aju,23
opo,23
ć ż,23
smu,23
u u,23
ż o,23
otw,23
jec,23
gan,23
ypa,23
iac,23
o ł,23
j j,23
ors,23
kur,23
ryj,23
tuż,23
n n,23
trą,23
śla,23
ika,23
dac,23
lał,23
ady,23
ż d,23
kle,23
łoń,23
sce,23
utr,23
zli,23
der,23
ś n,23
elb,23
rwi,23
rzc,23
bor,23
dna,23
min,23
lar,23
łby,23
h j,23
ałą,23
ża ,23
skó,23
dz ,23
śle,23
pla,23
trw,23
iłe,23
dną,23
liż,23
i h,23
n t,22
wyb,22
rot,22
ołu,22
mod,22
ile,22
cud,22
ńce,22
cić,22
 gę,22
 or,22
apr,22
nek,22
pyt,22
iż ,22
moc,22
zwr,22
asi,22
aga,22
doś,22
u l,22
pac,22
ykł,22
enc,22
y ż,22
 id,22
jad,22
n r,22
pil,22
kos,22
 ud,22
c ż,22
ewo,22
nni,22
ą l,22
ery,22
pró,22
iby,22
lce,22
tas,22
dym,22
hy ,22
czm,22
 gn,22
śpi,22
z c,21
ity,21
t o,21
ś p,21
toc,21
mat,21
iąt,21
bog,21
dus,21
tny,21
mne,21
ryk,21
zow,21
pob,21
len,21
gęs,21
gor,21
ape,21
dek,21
zin,21
niż,21
ols,21
tęp,21
ł u,21
azu,21
sad,21
pło,21
 śl,21
asł,21
 de,21
rci,21
ł l,21
 wd,21
twe,21
ań ,21
łni,21
bi ,21
cow,21
upa,21
 sy,21
sk ,21
w u,21
 tł,21
reg,21
 iz,21
izb,21
 pę,21
ąsi,21
m ż,21
mo ,21
ożn,21
m ś,21
edl,21
ć a,21
anó,21
ż b,21
óra,21
 sr,21
laz,21
awą,21
spó,21
ho ,21
łał,21
a h,21
roś,21
lcy,21
eyk,21
poś,20
stu,20
j b,20
bur,20
d l,20
ór ,20
odb,20
e ł,20
nna,20
onn,20
rzw,20
eki,20
ącz,20
iot,20
okó,20
pia,20
epo,20
mił,20
suk,20
ełn,20
hyb,20
zat,20
 mę,20
zyd,20
s w,20
ysł,20
ojn,20
ć g,20
d r,20
kil,20
nąć,20
mój,20
żni,20
bły,20
cę ,20
żą ,20
lna,20
ywi,20
tłu,20
nęl,20
moś,20
a ł,20
yrz,20
ior,20
t d,20
s n,20
r p,20
otą,20
adu,20
run,20
rys,20
bić,20
wki,20
ere,20
wsi,20
ż g,20
tył,20
kór,20
ede,20
ę a,20
ęką,20
tor,19
wro,19
jcz,19
oja,19
pła,19
ogu,19
mcz,19
lin,19
odm,19
h g,19
odr,19
ńca,19
ogl,19
isi,19
ciu,19
rak,19
rzó,19
oją,19
łym,19
hną,19
 cy,19
poł,19
wam,19
waj,19
 uj,19
zać,19
ojr,19
hce,19
dzw,19
ę g,19
czc,19
wzn,19
żąc,19
cóż,19
awd,19
sąs,19
tur,19
c k,19
zik,19
dyb,19
ę l,19
uśc,19
j g,19
upi,19
 nu,19
ncu,19
osó,19
wat,19
iął,19
sa ,19
kot,19
nib,19
 fa,19
zis,19
lą ,19
roć,19
r w,19
ema,19
ypr,19
krw,19
ztu,19
wóc,19
óch,19
el ,18
me ,18
yda,18
kus,18
woź,18
ude,18
życ,18
sre,18
reb,18
eńc,18
d c,18
cyc,18
łt ,18
cin,18
ajo,18
osa,18
afi,18
 fi,18
egd,18
aźn,18
ewc,18
ukł,18
kla,18
cąc,18
uży,18
coś,18
emy,18
ń w,18
spu,18
aże,18
otn,18
t m,18
zum,18
łoc,18
ięż,18
hoc,18
yny,18
t b,18
sar,18
isa,18
ołe,18
amo,18
odp,18
wna,18
zeć,18
mot,18
 wą,18
ską,18
iąd,18
urk,18
d o,18
czt,18
roj,18
ałk,18
myk,18
aża,18
gę ,18
hom,18
ew ,18
 dy,18
yko,17
żow,17
d m,17
źny,17
 tę,17
nis,17
d z,17
mog,17
yno,17
bit,17
chę,17
obu,17
pni,17
w a,17
edo,17
ubr,17
spi,17
j i,17
iąz,17
ekk,17
odd,17
c o,17
obl,17
skł,17
roż,17
i ł,17
jut,17
knę,17
got,17
ikó,17
yws,17
maw,17
eku,17
łyn,17
kli,17
owc,17
ypi,17
wyg,17
tys,17
ższ,17
ncz,17
k a,17
puś,17
pły,17
wój,17
byś,17
rap,17
wną,17
 lo,17
rne,17
żel,17
bij,17
ęka,17
akr,17
nte,17
ynk,17
han,17
tąp,17
ąpi,17
myc,17
ąsa,17
pio,17
asó,17
ówk,17
k l,17
n d,17
nu ,16
nan,16
e h,16
dra,16
rsi,16
ału,16
rop,16
py ,16
łej,16
gró,16
atk,16
boż,16
yte,16
eńs,16
dka,16
egi,16
ozo,16
emo,16
gów,16
aks,16
wci,16
ęły,16
zęt,16
ywo,16
ogó,16
uca,16
jęt,16
okn,16
um ,16
dyś,16
i ś,16
odg,16
haj,16
iaj,16
puk,16
eko,16
hwy,16
ydz,16
ż k,16
jni,16
 ab,16
móg,16
ógł,16
ack,16
ago,16
ykr,16
rać,16
ż c,16
ogą,16
gli,16
głę,16
ębi,16
woi,16
zod,16
yłu,16
iaż,16
tne,16
kwe,16
 ką,16
 he,16
tew,16
ler,16
o h,16
nać,16
ryw,16
aży,16
jar,16
eru,16
kul,16
ajd,16
żej,16
olu,16
n c,16
eże,16
al ,16
ócz,16
wab,16
cor,16
łót,16
aję,16
swy,16
aką,16
c i,16
yce,16
aw ,16
muc,16
aść,16
n o,16
ląc,16
rur,16
 il,15
iom,15
ar ,15
cka,15
rst,15
ot ,15
nau,15
sny,15
chr,15
rny,15
ogł,15
 ut,15
tyn,15
 śn,15
san,15
gru,15
dbi,15
 gw,15
ołk,15
dró,15
o f,15
ici,15
iać,15
koś,15
pęd,15
ęku,15
toj,15
nur,15
kob,15
 rą,15
n b,15
ang,15
bny,15
ąza,15
yra,15
bne,15
c d,15
nió,15
ujr,15
anu,15
onę,15
łok,15
ajn,15
ótk,15
syć,15
 dn,15
sił,15
u ż,15
ć u,15
s d,15
ezw,15
eso,15
wzg,15
ryt,15
cam,15
ial,15
eco,15
łum,15
uga,15
żyć,15
z h,15
agl,15
erb,15
imi,15
koz,15
wód,15
yłe,15
n m,15
żde,15
ą u,15
atu,15
koj,15
asy,15
usk,15
lem,15
ene,15
chl,15
icę,15
wda,15
pij,15
iór,15
zte,15
wyw,15
pił,15
d j,15
obą,15
ple,15
duc,15
pon,15
ido,15
als,15
noc,15
sal,15
agr,15
kod,15
ń s,15
odł,14
ant,14
ton,14
owr,14
 oz,14
dzę,14
zbo,14
doł,14
iaz,14
bry,14
 fo,14
wno,14
ć l,14
 nó,14
t k,14
cac,14
sac,14
mna,14
dąc,14
łka,14
es ,14
z ż,14
żyd,14
zyż,14
tch,14
pój,14
żar,14
suw,14
soł,14
iną,14
zły,14
uda,14
żad,14
jow,14
dok,14
wre,14
ółk,14
yn ,14
 wó,14
scu,14
arg,14
n j,14
zgr,14
wiw,14
źmi,14
weg,14
woś,14
 uś,14
dmi,14
żyj,14
esp,14
nud,14
dcz,14
arb,14
rec,14
eżd,14
żdż,14
t c,14
int,14
ban,14
ótn,14
ral,14
opc,14
eją,14
psy,14
psi,14
s z,14
zaż,14
leg,14
icó,14
ięs,14
eza,14
 kę,14
mą ,14
sow,14
wąs,14
lów,14
tuk,14
órę,14
tom,13
ytu,13
les,13
hec,13
ięg,13
yż ,13
ząt,13
ryb,13
ś c,13
cej,13
iść,13
leś,13
łąk,13
kit,13
psz,13
gry,13
rku,13
r s,13
els,13
lsz,13
aln,13
kop,13
wzd,13
ż i,13
ześ,13
rta,13
ebo,13
ato,13
iśc,13
usł,13
 żo,13
mis,13
ioł,13
raź,13
dyc,13
ymy,13
c r,13
byw,13
c c,13
bło,13
m h,13
mem,13
lne,13
ś s,13
zch,13
szp,13
mad,13
gin,13
ejm,13
ękę,13
hmu,13
 ar,13
sen,13
łus,13
łup,13
ż m,13
her,13
ról,13
odę,13
nąw,13
kup,13
jan,13
r i,13
swó,13
k u,13
szm,13
iów,13
órą,13
gły,13
let,13
aró,13
mas,13
źdz,13
dża,13
złe,13
rca,13
mut,13
arm,13
czw,13
ęte,13
zł ,13
żen,13
zął,13
smy,13
głu,13
pią,13
ślą,13
źne,13
ocn,13
tr ,13
jęc,13
esa,13
bów,13
lus,12
wey,12
ęga,12
reś,12
nno,12
dzk,12
głe,12
ąż ,12
gnę,12
mę ,12
mkn,12
zet,12
jom,12
w ż,12
 dą,12
hmi,12
for,12
ś z,12
u ś,12
bki,12
tyk,12
sł ,12
oż ,12
łab,12
anę,12
ukn,12
cal,12
ytn,12
c g,12
hni,12
tkę,12
bią,12
 zj,12
jdz,12
idą,12
 bó,12
zga,12
nom,12
iwe,12
zód,12
mim,12
imo,12
ykl,12
pi ,12
tec,12
ctw,12
ajs,12
ób ,12
w h,12
u h,12
com,12
sca,12
c m,12
isn,12
ajm,12
ico,12
obe,12
ejr,12
cno,12
tun,12
ymi,12
gal,12
esk,12
pap,12
ugą,12
liz,12
iża,12
ęgi,12
rył,12
ose,12
ezn,12
etr,12
ż r,12
jci,12
lęk,12
uzy,12
łóc,12
j a,12
psó,12
alu,12
 ję,12
zbl,12
ilę,12
hta,12
rób,12
ogę,12
akż,12
kże,12
msz,12
 hu,12
ocy,12
zną,12
kęd,12
roź,12
eny,12
dłs,12
mak,12
ygn,12
