Pozycja,Słowo,Liczba wystąpień
836,wartościowych,430
837,dziennik,429
838,pracę,428
839,zwłaszcza,428
840,tvp,428
841,marszałek,428
842,wynik,427
843,stacji,426
844,przyszłości,426
845,brytanii,424
846,zajął,424
847,względu,424
848,spadła,423
849,pierwszych,423
850,oświadczeniu,422
851,młodzieży,421
852,amerykańskiego,419
853,całego,419
854,handlu,419
855,rosyjski,418
856,edukacji,418
857,mecz,418
858,kościoła,417
859,możliwe,416
860,europejskich,416
861,zbyt,416
862,prace,416
863,gdańsku,415
864,siebie,415
865,listopada,415
866,niemieckiej,414
867,rs,414
868,wielkiej,413
869,system,413
870,puchar,413
871,udziałem,412
872,wyrok,411
873,sześciu,411
874,posłowie,411
875,dane,411
876,macedonii,411
877,bowiem,410
878,krajowej,410
879,członkostwa,410
880,wszystko,409
881,mamy,409
882,ubiegłego,409
883,indeks,408
884,sie,408
885,prezydentem,408
886,granicy,407
887,oni,407
888,aż,406
889,polityków,406
890,procesie,404
891,mówi,404
892,up,404
893,wsi,404
894,listy,404
895,sejmie,402
896,spadek,402
897,1997,401
898,ostatnim,401
899,amerykańskiej,401
900,ropy,401
901,ugrupowania,400
902,poparcia,400
903,warszawskim,400
904,twierdzą,399
905,75,399
906,wyborczych,399
907,cena,397
908,ciśnienie,397
909,igrzysk,397
910,rzecznika,397
911,przewodniczącego,397
912,pan,396
913,odszkodowań,396
914,marcu,396
915,potem,396
916,mariana,396
917,przypomniał,395
918,funduszy,395
919,prokurator,395
920,rano,394
921,mistrzostwach,394
922,dość,394
923,partia,394
924,uop,394
925,austrii,393
926,kolarskiego,392
927,administracji,392
928,zbigniew,392
929,zwycięstwo,391
930,lipcu,391
931,zchn,391
932,skład,391
933,skazał,391
934,lidera,390
935,miejsc,390
936,pzu,389
937,europejską,388
938,stosunków,388
939,znacznie,388
940,lecz,388
941,czech,388
942,akcje,387
943,parlamentarnych,386
944,raportu,386
945,wygrała,386
946,związane,386
947,prac,386
948,p,385
949,godzin,384
950,pokonał,384
951,niemieckiego,384
952,śledztwo,383
953,poinformowało,382
954,rodziny,382
955,oświadczenie,382
956,szpitala,382
957,festiwal,382
958,odszkodowania,381
959,ocenia,381
960,trakcie,380
961,uczestnicy,380
962,chorych,380
963,przedstawiciel,379
964,sprawę,378
965,większości,378
966,mieście,378
967,mogli,378
968,ton,378
969,negocjacje,377
970,chwili,377
971,prawicy,377
972,adam,376
973,ankietowanych,376
974,budowy,376
975,reformy,375
976,rundy,375
977,finale,374
978,hpa,374
979,zaznaczył,374
980,of,374
981,reprezentacja,374
982,ipn,373
983,zaapelował,373
984,klub,373
985,kolejny,373
986,odbyła,372
987,tytułu,372
988,nowelizacji,372
989,ustawę,371
990,kraj,371
991,taki,371
992,drużyny,371
993,niemieckie,370
994,netto,370
995,spółka,370
996,więc,370
997,nic,369
998,tu,369
999,funduszu,368
1000,trzeci,368
1001,zamknięcia,367
1002,prasowy,367
1003,umowy,367
1004,wicepremier,367
1005,miller,366
1006,powinno,365
1007,opozycji,365
1008,radia,364
1009,kobiety,364
1010,głównym,363
1011,moskwie,363
1012,zakładów,363
1013,zmienił,362
1014,tytuł,362
1015,grzegorz,362
1016,e,362
1017,pory,360
1018,południowo,360
1019,akt,360
1020,pierwsza,359
1021,zakończył,359
1022,styczniu,358
1023,rekord,357
1024,przypadku,357
1025,kolejne,356
1026,robert,356
1027,niektórych,356
1028,kandydat,356
1029,gminy,356
1030,kolei,356
1031,dotyczących,355
1032,uczestników,355
1033,150,355
1034,zatrzymała,355
1035,rozpocznie,355
1036,zmarł,354
1037,kaczyński,354
1038,władzy,354
1039,wewnętrznych,354
1040,decyzje,353
1041,ogłosił,353
1042,2003,353
1043,maju,353
1044,cen,351
1045,kwartale,351
1046,32,351
1047,zachodzie,350
1048,wiadomo,349
1049,zachodni,349
1050,ponownie,349
1051,godz,349
1052,pokoju,349
1053,liczby,349
1054,książki,349
1055,przetargu,349
1056,dziedzinie,349
1057,sezonie,348
1058,mistrz,348
1059,miloszevicia,348
1060,ub,348
1061,siedmiu,347
1062,miejscami,347
1063,analitycy,347
1064,kwietniu,347
1065,zwierząt,347
1066,muzyki,347
1067,podstawie,346
1068,internecie,346
1069,rozwój,346
1070,38,345
1071,miały,345
1072,ruch,345
1073,stowarzyszenia,344
1074,podpisał,344
1075,numerem,344
1076,wałęsa,344
1077,parlament,344
1078,44,343
1079,unią,343
1080,komisarz,343
1081,akcję,343
1082,państwo,342
1083,osiągając,342
1084,podatku,342
1085,lutym,342
1086,punktu,341
1087,polityczne,340
1088,raport,340
1089,g,340
1090,potwierdził,339
1091,szkoły,339
1092,oskarżenia,339
1093,szczecinie,339
1094,tadeusz,338
1095,koncern,338
1096,szkół,338
1097,choroby,338
1098,usług,338
1099,serii,338
1100,rundzie,337
1101,józef,336
1102,przywódcy,336
1103,samochodów,336
1104,mieli,336
1105,pół,336
1106,wezwał,336
1107,stanisław,336
1108,serbii,335
1109,jaki,335
1110,politycy,334
1111,rozgrywek,334
1112,zwrócił,334
1113,grand,334
1114,stronie,334
1115,nbp,333
1116,albo,333
1117,rozszerzenia,333
1118,warszawskiego,333
1119,bush,333
1120,rosyjskich,332
1121,niemal,332
1122,33,332
1123,prix,332
1124,mężczyzna,332
1125,takiej,332
1126,każdy,332
1127,drodze,331
1128,będziemy,331
1129,notowań,330
1130,rankingu,330
1131,grudniu,330
1132,marka,330
1133,płażyński,330
1134,berlinie,329
1135,południowej,329
1136,deficyt,329
1137,wyjaśnił,329
1138,giełdzie,328
1139,piotra,328
1140,pl,328
1141,referendum,328
1142,przyszłego,328
1143,d,328
1144,36,328
1145,olechowski,328
1146,ukrainie,327
1147,nowa,327
1148,wspólnego,327
1149,rozmowie,327
1150,naszym,326
1151,szczególnie,326
1152,akcja,326
1153,gazety,326
1154,niemieckich,325
1155,wynosi,325
1156,sztabu,325
1157,policjantów,325
1158,społeczeństwa,324
1159,naszego,324
1160,liderem,324
1161,tygodnia,324
1162,władimir,324
1163,odbył,324
1164,pierwszą,323
1165,cały,323
1166,media,322
1167,olimpijskich,322
1168,służb,321
1169,wypadku,321
1170,związanych,321
1171,nigdy,321
1172,kosowie,321
1173,orlen,321
1174,pieniężnej,320
1175,wspólnie,319
1176,nam,319
1177,zdania,319
1178,42,318
1179,wzrosły,318
1180,kongresu,318
1181,tyle,317
1182,metrów,317
1183,mediów,317
1184,pomiędzy,317
1185,problemów,316
1186,japonii,316
1187,konkurencji,315
1188,specjalnych,315
1189,nią,315
1190,wystąpi,315
1191,postępowanie,315
1192,przedstawił,314
1193,pkn,314
1194,publicznego,314
1195,typu,314
1196,ugrupowań,313
1197,miliona,313
1198,odbędą,313
1199,muszą,313
1200,straty,313
1201,pisze,312
1202,ryszard,312
1203,sześć,312
1204,miało,312
1205,dokumentów,312
1206,akademii,311
1207,zachodniej,311
1208,zginęło,311
1209,okres,310
1210,odbyły,309
1211,instytucji,309
1212,byłoby,309
1213,środki,308
1214,szefem,308
1215,ośmiu,308
1216,kto,308
1217,55,308
1218,zabójstwa,307
1219,inwestorów,307
1220,letnia,307
1221,następnie,307
1222,funkcji,307
1223,organizacja,306
1224,mógł,306
1225,stóp,306
1226,generalnego,306
1227,kolejnych,305
1228,dotąd,305
1229,sytuację,305
1230,chciał,305
1231,oficjalnie,305
1232,motor,305
1233,kancelarii,304
1234,rocznicy,304
1235,litwy,304
1236,naszych,304
1237,koncernu,303
1238,cbos,303
1239,kategorii,303
1240,wokół,303
1241,piłkarze,303
1242,rolę,303
1243,międzynarodowy,303
1244,północy,303
1245,swych,303
1246,wojciech,302
1247,przywódca,302
1248,jesteśmy,302
1249,członkowskich,302
1250,niektóre,302
1251,umowę,302
1252,finału,302
1253,spotkał,302
1254,poseł,301
1255,mistrza,301
1256,michał,301
1257,izby,301
1258,gen,300
1259,spośród,300
1260,społecznej,300
1261,sprzedaż,300
1262,czele,299
1263,ostatnie,299
1264,rzeczniczka,299
1265,zajmuje,299
1266,dostęp,299
1267,strefy,299
1268,zus,299
1269,zamknięciu,298
1270,poprzez,298
1271,zarzuty,298
1272,lepper,298
1273,śląsku,298
1274,konkursu,298
1275,ponadto,297
1276,biegu,297
1277,41,297
1278,szczytu,297
1279,pogodnie,296
1280,planuje,296
1281,ks,296
1282,rodzin,296
1283,jedwabnem,296
1284,gospodarczej,295
1285,źródła,295
1286,tygodni,295
1287,przemocy,295
1288,respondentów,295
1289,ocenie,294
1290,rosyjskie,294
1291,dm,294
1292,swej,294
1293,teatru,294
1294,wrocław,294
1295,koncert,294
1296,wielkiego,293
1297,północnej,293
1298,domaga,293
1299,obaj,293
1300,powstania,293
1301,przyjęcia,292
1302,zawodników,292
1303,senat,292
1304,wspólnej,291
1305,centralnego,291
1306,37,291
1307,zajęła,291
1308,kwestii,291
1309,stron,291
1310,dariusz,291
1311,fundacja,290
1312,największych,290
1313,dr,290
1314,problemy,290
1315,wówczas,290
1316,kazimierz,290
1317,rannych,290
1318,szanse,290
1319,chcemy,289
1320,dotyczy,289
1321,wypowiedzi,289
1322,rocznicę,289
1323,hiszpanii,289
1324,zakresie,289
1325,ppchd,289
1326,poinformowali,289
1327,razy,288
1328,rolników,288
1329,zdobyli,288
1330,godziny,287
1331,gdańska,287
1332,szwecji,287
1333,obrotów,287
1334,biuro,286
1335,zachmurzenie,286
1336,głównego,286
1337,postępowania,286
1338,często,286
1339,800,286
1340,innymi,286
1341,pokrywka,285
1342,śledztwa,285
1343,takiego,285
1344,janusza,285
1345,białymstoku,285
1346,anna,284
1347,zdobyła,284
1348,zasady,284
1349,czym,284
1350,przyjęcie,283
1351,zachodnich,283
1352,taka,282
1353,międzynarodowym,282
1354,tp,282
1355,stanowi,282
1356,dwaj,282
1357,wkrótce,281
1358,warunki,281
1359,zapowiada,281
1360,państwowych,281
1361,gr,281
1362,obywatelskiej,281
1363,zakładu,280
1364,vat,280
1365,północno,280
1366,internet,280
1367,sierpniu,279
1368,posiedzenia,279
1369,48,279
1370,ministrowie,279
1371,przemysłu,279
1372,układu,279
1373,wniosku,278
1374,internetowych,278
1375,opinię,278
1376,stracił,278
1377,dzisiaj,278
1378,mieszkańcy,278
1379,bartoszewski,278
1380,lecha,277
1381,00,277
1382,ocenił,277
1383,000,277
1384,rocznie,277
1385,nową,276
1386,poszerzenia,276
1387,34,276
1388,wprowadzenie,276
1389,realizacji,276
1390,wojska,275
1391,spadku,274
1392,najlepszy,274
1393,2004,274
1394,amerykańska,274
1395,regionu,274
1396,społecznych,274
1397,strona,274
1398,przyczyną,274
1399,43,273
1400,zawsze,273
1401,powodem,273
1402,rozpoczęła,273
1403,zabójstwo,272
1404,parlamencie,272
1405,operacji,272
1406,stosunki,272
1407,zakłada,272
1408,nasze,271
1409,kraków,271
1410,władysław,271
1411,wciąż,271
1412,politycznego,271
1413,propozycje,270
1414,bronisław,270
1415,odpowiedzi,270
1416,sojusz,270
1417,pozycji,269
1418,600,269
1419,liderzy,269
1420,tydzień,269
1421,ludności,269
1422,trybunału,269
1423,makler,268
1424,lekarze,268
1425,życiu,268
1426,republiki,268
1427,jestem,268
1428,miast,268
1429,marszałka,268
1430,premierem,267
1431,wschód,267
1432,zamachu,267
1433,obszarze,267
1434,palestyńczyków,267
1435,szczycie,267
1436,zdecydował,267
1437,nikt,267
1438,46,266
1439,ostatni,266
1440,trzeciej,266
1441,koalicja,266
1442,zakończenie,265
1443,wrocławiu,265
1444,członek,265
1445,głosi,265
1446,pobliżu,265
1447,informuje,265
1448,londynie,264
1449,mistrzów,264
1450,maria,264
1451,mogły,264
1452,58,264
1453,mocy,264
1454,rozwiązania,263
1455,pytanie,263
1456,filmów,263
1457,polonii,263
1458,szpitalu,263
1459,nszz,263
1460,kierunku,263
1461,inflacji,263
1462,wystąpił,262
1463,oskarżony,262
1464,internetowej,262
1465,karę,262
1466,organizatorzy,262
1467,rozpoczęły,262
1468,odpowiedzialność,262
1469,środkowej,261
1470,najprawdopodobniej,261
1471,złotego,261
1472,wiadomości,261
1473,paryżu,261
1474,49,261
1475,pokonali,261
1476,samo,261
1477,pulą,261
1478,ws,261
1479,postanowił,261
1480,wpływ,260
1481,tour,260
1482,czytamy,260
1483,siedem,260
1484,szacuje,259
1485,piłkarz,259
1486,największy,259
1487,wrześniu,259
1488,letniej,259
1489,france,259
1490,wyników,259
1491,mnie,259
1492,oskarżonego,259
1493,rejonowy,258
1494,światowego,258
1495,korei,258
1496,programie,258
1497,domagają,258
1498,bp,258
1499,połowa,258
1500,podobnie,257
1501,jaką,257
1502,sędzia,257
1503,województwa,257
1504,przyszłość,257
1505,liderów,256
1506,procentowych,256
1507,najwięcej,256
1508,inicjatywy,256
1509,głosowania,256
1510,51,256
1511,bezrobocia,256
1512,obie,255
1513,polityka,255
1514,56,255
1515,najbliższym,255
1516,plan,255
1517,ci,255
1518,uzyskał,255
1519,wody,254
1520,nt,254
1521,związków,254
1522,takim,254
1523,imprezy,254
1524,znaleźć,254
1525,śmierć,254
1526,juniorów,253
1527,polonia,253
1528,analityków,253
1529,samoobrony,253
1530,nożnej,253
1531,52,253
1532,wprowadzenia,252
1533,przegrała,252
1534,zarzuca,252
1535,sejmowej,252
1536,oprócz,252
1537,lublinie,252
1538,uczeni,252
1539,międzynarodowa,251
1540,głównych,251
1541,termin,251
1542,roli,251
1543,amerykanin,251
1544,demokratycznej,251
1545,nauki,251
1546,robotników,251
1547,stanowisku,251
1548,podaje,251
1549,obop,250
1550,stowarzyszenie,250
1551,hasłem,250
1552,serca,250
1553,wyborców,250
1554,krakowa,250
1555,prl,250
1556,powstanie,249
1557,kampanię,249
1558,wygrali,249
1559,wyniosła,249
1560,stanisława,249
1561,pkp,248
1562,azs,248
1563,dużo,248
