Pozycja,Forma podstawowa,Liczba wystąpień,Pierwsza litera etykiety
241,gospodarczy,1395,C
242,punkt,1391,A
243,urząd,1388,A
244,obrona,1381,A
245,duży,1378,C
246,jeśli,1370,G
247,gdzie,1365,G
248,piłkarski,1347,C
249,miał,1346,A
250,dotyczący,1342,C
251,wśród,1342,G
252,czerwiec,1340,A
253,zakończyć,1340,B
254,najbliższy,1338,C
255,głos,1333,A
256,prowadzić,1332,B
257,bezpieczeństwo,1325,A
258,maj,1319,A
259,sesja,1315,A
260,gdy,1314,G
261,czyli,1311,G
262,okres,1309,A
263,pieniądz,1308,A
264,ofiara,1307,A
265,u,1302,G
266,zająć,1298,B
267,działania,1297,A
268,współpraca,1296,A
269,giełda,1288,A
270,puchar,1286,A
271,liga,1281,A
272,służba,1272,A
273,wcześniej,1269,F
274,pokonać,1268,B
275,liczba,1267,A
276,krajowy,1266,C
277,południe,1261,A
278,wspólny,1256,C
279,żaden,1250,C
280,Internet,1244,A
281,lipiec,1228,A
282,kultura,1225,A
283,większość,1221,A
284,okręgowy,1214,C
285,ochrona,1213,A
286,gospodarka,1212,A
287,finanse,1212,A
288,swa,1210,E
289,budżet,1206,A
290,połowa,1203,A
291,pięcie się,1203,A
292,skarb,1203,A
293,społeczny,1202,C
294,dom,1197,A
295,wschodni,1194,C
296,wojna,1190,A
297,problem,1189,A
298,polityk,1188,A
299,papież,1188,A
300,wrzesień,1187,A
301,najlepszy,1185,C
302,przyjąć,1184,B
303,więzienie,1183,A
304,zdobyć,1177,B
305,marzec,1174,A
306,wizyta,1173,A
307,dojść,1172,B
308,dyrektor,1167,A
309,negocjacje,1163,A
310,wystąpić,1161,B
311,mieszkaniec,1159,A
312,rozwój,1151,A
313,bronić,1151,B
314,my,1149,E
315,zdrowie,1149,A
316,granica,1143,A
317,były,1143,C
318,wolność,1140,A
319,opinia,1139,A
320,specjalny,1138,C
321,zakład,1135,A
322,należeć,1133,B
323,środek,1130,A
324,mistrz,1123,A
325,poparcie,1121,A
326,sam,1115,E
327,podpisać,1105,B
328,zatrzymać,1102,B
329,droga,1101,A
330,fundusz,1099,A
331,fundacja,1096,A
332,sposobić,1091,B
333,telewizja,1085,A
334,festiwal,1085,A
335,wiek,1084,A
336,sierpień,1083,A
337,złożyć,1080,B
338,działalność,1076,A
339,rodzina,1076,A
340,dana,1076,A
341,generalny,1070,C
342,wzrosnąć,1069,B
343,wyścig,1068,A
344,uczestniczyć,1068,B
345,spaść,1067,B
346,nawet,1066,G
347,kwiecień,1058,A
348,solidarność,1056,A
349,olimpijski,1056,C
350,jaki,1055,E
351,dokument,1053,A
352,spadek,1052,A
353,zamierzać,1047,B
354,więcej,1047,F
355,przyznać,1044,B
356,kościół,1041,A
357,przywódca,1035,A
358,początek,1034,A
359,parlamentarny,1032,C
360,oświadczenie,1032,A
361,szkoła,1031,A
362,godzina,1030,A
363,milion,1029,A
364,reprezentacja,1029,A
365,prezydencki,1025,C
366,sprzedaż,1024,A
367,walka,1022,A
368,propozycja,1020,A
369,natomiast,1016,G
370,styczeń,1012,A
371,związany,1008,C
372,samochód,1008,A
373,raport,1005,A
374,posiedzenie,1002,A
375,drużyna,1001,A
376,przyszły,1000,C
377,policjant,998,A
378,zmienić,996,B
379,państwowy,990,C
380,rzecz,987,A
381,wyrazić,986,B
382,podjąć,985,B
383,tempo,982,A
384,umowa,978,A
385,kampania,976,A
386,rad,965,C
387,prawić,964,B
388,ruch,961,A
389,iż,961,G
390,domagać się,961,B
391,zarzut,960,A
392,piłkarz,959,A
393,federacja,958,A
394,wziąć,957,B
395,instytut,955,A
396,teren,955,A
397,ugrupowanie,954,A
398,kilka,949,A
399,warunek,947,A
400,senat,947,A
401,tam,944,G
402,ubiegły,944,C
403,ogłosić,943,B
404,ziemia,938,A
405,medal,937,A
406,rama,932,A
407,prawie,930,G
408,finansowy,927,C
409,zwycięstwo,926,A
410,koalicja,925,A
411,pracownik,922,A
412,zbrodnia,916,A
413,finał,915,A
414,plan,914,A
415,uzyskać,914,B
416,bo,914,G
417,zawodowy,914,C
418,śmierć,909,A
419,wschód,907,A
420,biuro,901,A
421,tytuł,897,A
422,żołnierz,896,A
423,przedstawić,896,B
424,oba,895,D
425,wystawa,885,A
426,napisać,880,B
427,stolica,879,A
428,większy,879,C
429,nadal,879,F
430,runda,879,A
431,udać,878,B
432,wzrosły,877,C
433,grudzień,877,A
434,kilka,876,D
435,uczestnik,876,A
436,sprawiedliwość,876,A
437,zapewnić,875,B
438,obywatel,874,A
439,środowisko,871,A
440,częsty,870,C
441,wysokość,865,A
442,sekretarz,864,A
443,znajdować,858,B
444,zamknięcie,858,A
445,choroba,855,A
446,szpital,855,A
447,platforma,855,A
448,poznanie,852,A
449,część,851,A
450,odszkodowanie,850,A
451,szansa,850,A
452,kontrola,849,A
453,budowa,847,A
454,rosyjski,846,C
455,luty,842,A
456,zjednoczony,842,C
457,historia,841,A
458,spotkać,841,B
459,własny,835,C
460,reforma,834,A
461,konkurs,831,A
462,dalszy,829,C
463,koncern,828,A
464,odbywać,827,B
465,południowy,827,C
466,nasz,825,E
467,jeść,823,B
468,numer,821,A
469,północny,817,C
470,sojusz,817,A
471,niemiecki,812,C
472,etap,811,A
473,kiedy,809,G
474,marszałek,808,A
475,twierdzić,807,B
476,lekarz,806,A
477,dwie,805,D
478,uroczystość,799,A
479,wczoraj,798,A
480,medium,796,A
481,kurs,795,A
482,komunikat,795,A
483,dziennik,794,A
484,koncert,792,A
485,wiatr,791,A
486,obecny,790,A
487,deszcz,789,A
488,słaby,787,C
489,przypadek,786,A
490,zasada,783,A
491,najwyższy,782,C
492,przyjęcie,781,A
493,potwierdzić,781,B
494,zakończenie,781,A
495,najbardziej,780,F
496,trwać,780,B
497,analityk,779,A
498,region,777,A
499,nim,772,G
500,gdański,771,C
501,zginąć,771,B
502,teatr,771,A
503,samolot,768,A
504,sztuka,768,A
505,wywiad,762,A
506,najmniej,760,F
507,śledztwo,759,A
508,brak,759,A
509,wyrok,759,A
510,dzięki,758,A
511,sondaż,758,A
512,powstać,756,B
513,ani,755,G
514,armia,754,A
515,protest,754,A
516,ocena,750,A
517,wejście,749,A
518,rocznica,747,A
519,sześć,744,D
520,zgodnie,743,F
521,uniwersytet,743,A
522,umiarkowany,740,C
523,akt,739,A
524,obywatelski,738,C
525,tegoroczny,732,C
526,kwestia,732,A
527,wzgląd,732,A
528,ton,730,A
529,zachód,727,A
530,miejscowość,726,A
531,atak,725,A
532,czwarty,725,C
533,wysoki,724,C
534,muzeum,724,A
535,zdecydować,724,B
536,dziś,724,A
537,wpływ,721,A
538,oskarżony,720,A
539,prokurator,719,A
540,nasi,719,A
541,izba,716,A
542,prawdopodobnie,716,F
543,podstawa,716,A
544,książka,716,A
545,gazeta,711,A
546,uwaga,710,A
547,zwrócić,709,B
548,mimo,709,G
549,pan,707,A
550,różny,707,C
551,opad,705,A
552,nastąpić,704,B
553,rządowy,702,C
554,naukowiec,702,A
555,stowarzyszenie,701,A
556,zabójstwo,701,A
557,przekazać,700,B
558,rola,699,A
559,październik,699,A
560,zajmować,699,B
561,strefa,699,A
562,gmin,699,A
563,termin,697,A
564,przyszłość,696,A
565,trybunał,695,A
566,rozwiązanie,690,A
567,każdy,690,A
568,wtorkowy,684,C
569,centralny,683,C
570,oznaczać,683,B
571,sezon,682,A
572,postępowanie,680,A
573,grozić,679,B
574,wieczorem,679,F
575,przeciw,678,G
576,wyższy,677,C
577,podatek,675,A
578,przewidywać,674,B
579,przegrać,673,B
580,wprowadzenie,672,A
581,pamięć,671,A
582,indeks,671,A
583,naród,671,A
584,żeby,671,G
585,mniej,670,F
586,jedynie,670,G
587,pozostać,670,B
588,środowy,668,C
589,zawód,668,A
590,radio,667,A
591,podstawowy,667,C
592,otwarty,666,C
593,listopad,666,A
594,produkcja,665,A
595,żyd,665,A
596,obrót,664,A
597,kongres,664,A
598,resort,655,A
599,mama,654,A
600,zawodnik,654,A
601,demokratyczny,652,C
602,młoda,652,A
603,skład,647,A
604,stacja,646,A
605,spadły,645,C
606,impreza,644,A
607,okazja,643,A
608,inwestor,641,A
609,piątkowy,640,C
610,koło,639,A
611,próba,638,A
612,silny,638,C
613,dotyczyć,637,B
614,igrzyska,637,A
615,opozycja,637,A
616,rolnictwo,635,A
617,rejonowy,634,C
618,łódź,634,A
619,wiceminister,634,A
620,ropa,633,A
621,zamach,633,A
622,źródło,632,A
623,ponieważ,631,G
624,wewnętrzny,631,C
625,głosowanie,630,A
626,rozszerzenie,629,A
627,oskarżona,628,A
628,chodzić,627,B
629,trzeba,625,B
630,oceniać,623,B
631,liczyć,621,B
632,obszar,620,A
633,strata,620,A
634,możliwość,616,A
635,papier,616,A
636,dotychczasowy,616,C
637,wojsko,615,A
638,ukraiński,615,C
639,bardziej,615,F
640,interes,615,A
641,siedem,614,D
642,spowodować,613,B
643,porównanie,613,A
644,postanowić,611,B
645,najważniejszy,611,C
646,woj,610,A
647,zacząć,609,B
648,osiągnąć,609,B
649,teraz,608,F
650,wydać,607,B
651,woda,606,A
652,funkcja,606,A
653,kolarski,606,C
654,sędzia,606,A
655,możliwości,606,A
656,noc,605,A
657,zaapelować,605,B
658,procent,605,A
659,podkreślać,605,B
660,społeczeństwo,604,A
661,gaz,604,A
662,wynosić,603,B
663,poza,602,A
664,integracja,601,A
665,oficjalny,600,C
666,przebywać,600,B
667,dać,600,B
668,głównie,598,F
669,prawny,598,C
670,awansować,597,B
671,nowelizacja,597,A
672,skazać,597,B
673,czwartkowy,596,C
674,czeski,596,C
675,młodzież,595,A
676,pracować,594,B
677,pozycja,594,A
678,sieć,594,A
679,poprzedni,593,C
680,stwierdzić,592,B
681,znany,591,C
682,gra,590,A
683,góra,590,A
684,autor,589,A
685,ważny,588,C
686,trafić,588,B
687,wraz,587,F
688,skutek,587,A
689,dokonać,586,B
690,handel,585,A
691,procentowy,583,C
692,dostęp,582,A
693,członkostwo,581,A
694,francuski,580,A
695,żydowski,580,C
696,przestępstwo,578,A
697,jednocześnie,578,F
698,układ,577,A
699,nadziać,574,B
700,wojskowy,574,A
701,oferta,573,A
702,dotychczas,572,F
703,poniedziałkowy,572,C
704,wezwać,572,B
705,inicjatywa,572,A
706,przedsiębiorstwo,571,A
707,koszt,570,A
708,krakowski,569,C
709,mała,568,A
710,lokalny,562,C
711,województwo,562,A
712,święta,561,A
713,jeżeli,560,G
714,pozostały,560,C
715,przyczyna,557,A
716,dobre,555,A
717,szczecina,553,A
718,materiał,553,A
719,zwierzę,552,A
720,organizator,552,A
721,notowanie,551,A
722,usługa,550,A
723,zorganizowany,550,C
724,wicepremier,548,A
725,zakup,547,A
726,zgoda,546,A
727,dlatego,544,G
728,właściciel,544,A
729,kar,543,A
730,stracić,543,B
731,wypowiedź,543,A
732,administracja,542,A
733,lustracyjny,542,C
734,szczyt,542,A
735,niektóry,541,A
736,dopiero,541,G
737,ekonomiczny,539,C
738,operacja,539,A
739,deklaracja,538,A
740,instytucja,538,A
741,rana,536,A
742,wypadek,535,A
743,dobro,535,A
744,zemrzeć,533,B
745,pula,533,A
746,oddział,532,A
747,rekord,532,A
748,osiem,532,D
749,gdyż,531,G
750,deficyt,531,A
751,wypłata,530,A
752,kwota,530,A
753,przeprowadzony,525,C
754,edukacja,524,A
755,zgodzić,524,B
756,uchwała,523,A
757,zwyciężyć,521,B
758,realizacja,521,A
759,piąty,520,C
760,dziedzina,518,A
761,sprawca,518,A
762,występować,518,B
763,tymczasem,516,G
764,obóz,516,A
765,biały,516,C
766,prowadzony,516,C
767,utworzenie,515,A
768,odpowiedzialność,515,A
769,później,513,F
770,republika,513,A
771,badany,512,C
772,głosować,512,B
773,wystąpienie,511,A
774,przetarg,511,A
775,wybrać,510,B
776,samorząd,510,A
777,oczekiwać,508,B
778,ręka,506,A
779,dyplomacja,506,A
780,komisarz,506,A
781,ocenić,506,B
782,trener,505,A
783,inflacja,505,A
784,wyjaśnić,504,B
785,zagrożenie,504,A
786,wojenny,504,C
787,rozgrywka,503,A
788,przypomnieć,502,B
789,chwila,502,A
790,kto,502,E
791,swoje,502,A
792,swój,502,E
793,średni,500,C
794,dawny,500,C
795,pytanie,500,A
796,zadanie,499,A
797,ośrodek,498,A
798,nauka,498,A
799,świadek,498,A
800,pokój,497,A
801,poprzeć,496,B
802,sztab,496,A
803,choć,496,G
804,stać,495,B
805,bezrobocie,493,A
806,właśnie,491,G
807,seria,490,A
808,aresztować,489,B
809,otwarcie,488,A
810,wydarzenie,488,A
811,kierunek,488,A
812,doprowadzić,486,B
813,okazać,485,B
814,ewentualny,485,C
815,mieszkanie,485,A
816,wydanie,481,A
817,miejski,481,C
818,forum,481,A
819,ustalić,480,B
820,rozmawiać,480,B
821,muzyka,480,A
822,sprzedać,478,B
823,gdyby,478,G
824,planować,478,B
825,kwartał,475,A
826,wybrzeże,474,A
827,konflikt,474,A
828,sam,473,A
829,nic,473,E
830,siedziba,473,A
831,przeprowadzić,473,B
832,przepis,473,A
833,wieś,472,A
834,imię,472,A
835,brać,471,B
836,obowiązek,471,A
837,prasa,471,A
838,sejmowy,470,C
839,konkurencja,470,A
840,zgromadzenie,470,A
841,zdjęcie,470,A
842,blisko,469,F
843,poprawa,469,A
844,zakaz,468,A
845,ekspert,468,A
846,przygotowanie,467,A
847,kontrakt,467,A
848,odpowiedzieć,466,B
849,kara,466,A
850,forma,465,A
851,poszerzenie,465,A
852,ojciec,465,A
853,swe,465,E
854,metr,465,A
855,mający,464,C
856,wejść,464,B
857,język,463,A
858,wartościowy,462,C
859,zapowiadać,462,B
860,eliminacja,462,A
861,elektroniczny,462,C
862,federalny,461,C
863,austriacki,461,C
864,pozwolić,459,B
865,potrzeba,458,A
866,informować,458,B
867,matka,458,A
868,zrobić,457,B
869,klasa,457,A
870,przyjęty,457,C
871,chora,457,A
872,prywatny,457,C
873,budynek,455,A
874,regionalny,454,C
875,reprezentant,453,A
876,obrady,452,A
877,powołanie,452,A
878,hasło,452,A
879,pisać,451,B
880,bieg,451,A
881,prawica,451,A
882,komputerowy,450,C
883,ciśnienie,449,A
884,wskazywać,449,B
885,kierowca,449,A
886,coraz,449,G
887,artysta,447,A
888,odpowiedź,446,A
889,niedzielny,446,C
890,kontakt,446,A
891,ja,445,E
892,oskarżenie,445,A
893,podobny,445,C
894,wtedy,444,G
895,klasyfikacja,444,A
896,poprawka,444,A
897,pomnik,442,A
898,ulica,442,A
899,wiedzieć,441,B
900,kredyt,440,A
901,ogólnopolski,440,C
902,zbyt,439,A
903,obraz,439,A
904,kasa,439,A
905,zaś,437,G
906,koszykarz,437,A
907,zarówno,436,F
908,zjazd,436,A
909,sobotni,435,C
910,opowiedzieć,435,B
911,dyskusja,435,A
912,członkowski,434,C
913,wojskowy,433,C
914,przemysł,433,A
915,odrzucić,432,B
916,bliski,432,C
917,towarzystwo,432,A
918,handlowy,431,C
919,paliwo,431,A
920,samoobrona,431,A
921,obecny,431,C
922,trasa,430,A
923,naukowy,429,C
924,powołać,429,B
925,pokojowa,428,A
926,zwłaszcza,428,G
927,fakt,428,A
928,kosmiczny,428,C
929,serce,428,A
930,kryzys,427,A
931,producent,427,A
932,charakter,424,A
933,załoga,424,A
934,odnieść,424,B
935,obrońca,424,A
936,poważny,423,C
937,sukces,423,A
938,twierdza,421,A
939,wojewódzki,421,C
940,katolicki,420,C
941,stopa,420,A
942,zaproponować,420,B
943,poświęcony,419,C
944,naftowy,419,C
945,funkcjonariusz,419,A
946,student,419,A
947,medyczny,418,C
948,graniczny,417,C
949,możliwe,416,G
950,emisja,416,A
951,wprowadzić,415,B
952,kategoria,415,A
953,pielęgniarka,415,A
954,pojawić się,414,B
955,filmowy,414,C
956,zakładać,413,B
957,inwestycja,412,A
958,słowo,412,A
959,nazwa,412,A
960,zaznaczyć,411,B
961,niewielki,411,C
962,bowiem,410,G
963,tygodnik,410,A
964,prowadzenie,409,A
965,los,408,A
966,północ,408,A
967,jednostka,408,A
968,potrzebny,407,C
969,podpis,407,A
970,zachmurzenie,406,A
971,przewodnicząca,406,A
972,piłka,406,A
973,aż,406,G
974,przynieść,406,B
975,chiński,406,C
976,gen,405,A
977,przymusowy,405,C
978,pot,405,A
979,wola,405,A
980,stanowić,405,B
981,określić,404,B
982,pismo,404,A
983,kolej,402,A
984,działać,401,B
985,działacz,401,A
986,zakres,401,A
987,powrót,400,A
988,akademia,400,A
989,ankietowany,399,C
990,zysk,398,A
991,kierować,397,B
992,por,397,A
993,przygotować,397,B
994,odpowiadać,396,B
995,następny,396,C
996,ujawnić,395,B
997,nauczyciel,395,A
998,pieniężny,394,C
999,przejście,394,A
1000,telewizyjny,394,C
1001,dość,394,G
1002,każdy,392,C
1003,przejść,392,B
1004,spodziewać się,392,B
1005,zarzucać,392,B
1006,istnieć,392,B
1007,wszelki,391,C
1008,ciało,391,A
1009,organ,391,A
1010,placówka,391,A
1011,przemoc,389,A
1012,znać,389,B
1013,osiągać,389,B
1014,znacznie,388,F
1015,lecz,388,G
1016,kancelaria,387,A
1017,ograniczenie,387,A
1018,opublikowany,387,C
1019,msza,385,A
1020,sum,385,A
1021,korupcja,384,A
1022,lotniczy,384,C
1023,nielegalny,383,C
1024,minuta,382,A
1025,zwolennik,382,A
1026,trakt,382,A
1027,rolny,380,C
1028,zorganizować,379,B
1029,data,379,A
1030,kilkanaście,378,D
1031,dobry,378,C
1032,rozpoczęcie,378,A
1033,biskup,378,A
1034,okolica,376,A
1035,waga,376,A
1036,powietrze,375,A
1037,konwencja,375,A
1038,sama,374,E
1039,zwiększyć,374,B
1040,sektor,374,A
1041,przybyć,372,B
1042,kanclerz,372,A
1043,protestować,372,B
1044,japoński,372,C
1045,podwyżka,372,A
1046,misja,371,A
1047,dzieło,371,A
1048,sportowy,371,C
1049,gotowy,371,C
1050,narkotyk,371,A
1051,powszechny,370,C
1052,netto,370,C
1053,więc,370,G
1054,nikt,370,E
1055,ranna,370,A
1056,próbować,370,B
1057,planowany,369,C
1058,pacjent,369,A
1059,tu,369,G
1060,finałowy,367,C
1061,ludzki,367,C
1062,niższy,367,C
1063,dowód,367,A
1064,serwis,366,A
1065,techniczny,366,C
1066,stopień,366,A
1067,zwiększenie,366,A
1068,należący,365,C
1069,wyborca,365,A
1070,pytać,365,B
1071,dochód,365,A
1072,kolega,364,A
1073,delegacja,364,A
1074,struktura,362,A
1075,karny,362,A
1076,huta,362,A
1077,przyjechać,362,B
1078,komputer,361,A
1079,produkt,361,A
1080,korzystać,361,B
1081,demokracja,360,A
1082,rejon,360,A
1083,dymisja,360,A
1084,apel,360,A
1085,zwycięzca,359,A
1086,ambasador,359,A
1087,pomóc,358,B
1088,zachowanie,358,A
1089,likwidacja,358,A
1090,uczeń,358,A
1091,bieżący,358,C
1092,morze,357,A
1093,ludowy,356,C
1094,wstępny,356,C
1095,obchody,356,A
1096,przeciwny,356,C
1097,start,356,A
1098,lek,356,A
1099,proponować,355,B
1100,zebrać,355,B
1101,pozostawać,355,B
1102,rolnik,355,A
1103,podawać,355,B
1104,makler,353,A
1105,utrzymać,353,B
1106,młody,353,A
1107,kadencja,352,A
1108,skierować,352,B
1109,kardynał,352,A
1110,widzieć,351,B
1111,sala,351,A
1112,lot,351,A
1113,muzyczny,351,C
1114,uczelnia,351,A
1115,grosz,351,A
1116,typ,351,A
1117,wiadomo,349,B
1118,ponownie,349,F
1119,senator,349,A
1120,osiągnięcie,349,A
1121,efekt,349,A
1122,trudny,349,C
1123,ekipa,349,A
1124,miejscami,347,F
1125,lepszy,347,C
1126,budżetowy,347,C
1127,pojednanie,346,A
1128,dostać,346,B
1129,wyspa,346,A
1130,linia,345,A
1131,kandydatura,344,A
1132,wałęsać się,344,B
1133,ubezpieczenie,342,A
1134,szacować,342,B
1135,powstanie,342,A
1136,odpowiedzialny,341,C
1137,nazwisko,340,A
1138,scena,340,A
1139,tyle,339,E
1140,areszt,339,A
1141,referendum,339,A
1142,przeznaczony,338,C
1143,alba,338,A
1144,założenie,338,A
1145,generał,338,A
1146,dialog,338,A
1147,stara,338,A
1148,respondent,337,A
1149,prymas,337,A
1150,historyczny,337,C
1151,odwołanie,337,A
1152,poła,337,A
1153,postawić,337,B
1154,wojewoda,337,A
1155,oddać,337,B
1156,dziać,336,B
1157,bezpośredni,336,C
1158,niezależny,336,C
1159,napad,336,A
1160,prawybory,335,A
1161,dług,334,A
1162,grand,334,A
1163,strategiczny,334,C
1164,zaprezentować,334,B
1165,głowa,334,A
1166,sądzić,334,B
1167,pozew,334,A
1168,kandydujący,333,C
1169,metoda,333,A
1170,stadion,333,A
1171,pokrywka,332,A
1172,niemal,332,F
1173,ostateczny,332,C
1174,ludność,332,A
1175,włoski,332,A
1176,obawa,331,A
1177,popierać,331,B
1178,kart,330,A
1179,rodzaj,330,A
1180,gang,330,A
1181,wpłynąć,329,B
1182,podjęcie,329,A
1183,moment,329,A
1184,konstytucja,329,A
1185,cmentarz,328,A
1186,gwiazda,328,A
1187,pełny,328,C
1188,alkohol,328,A
1189,podejrzany,328,A
1190,czekać,328,B
1191,zawieszenie,326,A
1192,szczególnie,326,F
1193,znaczny,326,C
1194,kolejka,325,A
1195,wydział,325,A
1196,zgłosić,325,B
1197,laureat,325,A
1198,wirus,325,A
1199,informacyjny,324,C
1200,wskaźnik,324,A
1201,rzeczniczka,324,A
1202,zrezygnować,324,B
1203,debata,324,A
1204,mniejszy,324,C
1205,związkowiec,324,A
1206,element,324,A
1207,wydatek,324,A
1208,zagrać,322,B
1209,pełnomocnik,322,A
1210,zdrowotny,322,C
1211,odwołać,321,B
1212,nigdy,321,G
1213,motor,321,A
1214,tenisista,321,A
1215,wersja,321,A
1216,podejrzana,321,A
1217,programowy,321,C
1218,baza,320,A
1219,znak,320,A
1220,wspólnie,319,F
1221,przelotny,319,C
1222,hokeista,319,A
1223,wiceprezes,319,A
1224,zakończony,319,C
1225,czytać,318,B
1226,wina,318,A
1227,wspólnota,318,A
1228,wsparcie,317,A
1229,artykuł,317,A
1230,pomiędzy,317,G
1231,zawierać,317,B
1232,dawać,316,B
1233,transport,316,A
1234,kilkadziesiąt,315,D
1235,oficer,315,A
1236,analiza,314,A
1237,przeciwnik,314,A
1238,obligacja,314,A
1239,dodatkowy,313,C
1240,wykazać,313,B
1241,chłopiec,312,A
1242,rebeliant,312,A
1243,telefon,312,A
1244,składać,312,B
1245,targ,312,A
1246,kapitał,311,A
1247,tenisowy,311,C
